modul,price,score
  15.6    ThinkBook 15 G2 ITL-i5 16GB 1SSD MX450 -  ,28700000,4.5
  15.6    ThinkBook 15 G2 ITL-i5 16GB 1SSD MX450 -  ,28580000,
  15.6    IdeaPad 3 15ALC6-R7 12GB 1SSD Radeon -  ,28500000,
  15.6    ThinkBook 15 G2 ITL-i5 8GB 1SSD MX450 -  ,28400000,
  15.6    IdeaPad 3 15ALC6-R7 20GB 1SSD Radeon -  ,28380000,
  15.6    IdeaPad 3 15ALC6-R7 20GB 1HDD 1SSD Radeon -  ,28320000,
  15.6    IdeaPad 3 15ALC6-R7 12GB 1HDD 1SSD Radeon -  ,28260000,
  15.6    ThinkBook 15 G2 ITL-i5 8GB 1HDD 512SSD MX450 -  ,28200000,
  15.6    IdeaPad 3-i7 12GB 1HDD 512SSD MX450 -  ,28190000,4
  15.6    IdeaPad 3 15ITL6-i7 12GB 1HDD 512SSD MX450 -  ,29700000,3.9
  15.6    IdeaPad 3 15IAU7-i7 16GB 1SSD -  ,28090000,5
  15.6    IdeaPad 3 15ALC6-R7 12GB 1HDD 128SSD Radeon -  ,28060000,
  15.6    ThinkBook 15 G2 ITL-i5 8GB 1HDD 256SSD MX450 -  ,28050000,
  15.6    IdeaPad 3-I,28040000,
  15.6    IdeaPad 3 15ITL6-i7 24GB 256SSD MX450 -  ,28020000,
  15.6    ThinkBook 15 G2 ITL-i5 4GB 256SSD MX450,28000000,
  15.6    IdeaPad 3 15ITL6-i5 20GB 1SSD MX350 -  ,28000000,
  15.6    ThinkBook 15 G2 ITL-i5 8GB 1HDD MX450,27990000,
  15.6    Ideapad 3 15ITL05 81X800MYAK-i5 12GB 512SSD Iris Xe -  ,27990000,
  15.6    IdeaPad 3 15ITL6-i7 12GB 512SSD MX450 -  ,28200000,4.1
  15.6    IdeaPad 3 15ALC6-R7 12GB 1HDD Radeon -  ,27900000,
  15.6    IdeaPad 3 15ITL6-i5 16GB 1HDD 256SSD MX350 -  ,27900000,
  15.6    IdeaPad 3-i7 12GB 1HDD 256SSD MX450 -  ,27890000,4.3
  15.6    IdeaPad 3 15ITL6-i5 8GB 1HDD 512SSD MX350 -  ,27800000,
  15.6    IdeaPad 5-i5 8GB 1SSD MX450,27800000,3.5
  15.6    ThinkBook 15 G2 ITL-i5 16GB 1HDD 256SSD MX450 -  ,27700000,3.5
  15.6    IdeaPad 3-i7 12GB 1HDD 128SSD MX450 -  ,27699000,4.4
  15.6    IdeaPad 3 15ALC6-R7 20GB 512SSD Radeon -  ,27680000,
  15.6    IdeaPad 3 15ALC6-R7 12GB 512SSD Radeon -  ,27560000,
  15.6    IdeaPad 3-i5 24GB 1SSD Iris Xe,27500000,
  15.6    IdeaPad 3 15ITL6-i5 16GB 1HDD 128SSD MX350 -  ,27500000,
  15.6    ThinkBook 15-GD,27499000,5
  15.6    ThinkBook 15 G2 ITL-i5 12GB 1HDD 256SSD MX450 -  ,27450000,5
  15.6    IdeaPad 3-i7 8GB 1HDD 256SSD MX450 -  ,27390000,2.7
  15.6    IdeaPad 3-i7 8GB 1HDD 128SSD MX450 -  ,27190000,3
  15.6    IdeaPad 3 15ALC6-R7 12GB 256SSD Radeon -  ,27180000,
  15.6    ThinkBook 15-GB,27150000,3.7
  15.6    ThinkBook 15 G2 ITL-i5 12GB 1HDD 128SSD MX450 -  ,27150000,2
  15.6    IdeaPad 3-i7 12GB 1HDD MX450 -  ,27090000,4
  15.6    IdeaPad 3 15ALC6-R7 8GB 1HDD 512SSD Radeon -  ,27060000,
  15.6    IdeaPad 3 15ALC6-R7 8GB 1SSD Radeon -  ,27000000,
  15.6    IdeaPad 3 15ITL6-i5 20GB 512SSD MX350 -  ,27000000,
  15.6    Ideapad 3 15ITL05 81X800MYAK-i5 8GB 512SSD Iris Xe -  ,26990000,
  15.6    IdeaPad 3 15IAU7-i7 16GB 512GB -  ,26990000,
  15.6    Ideapad 3 15ITL05 81X800MYAK-i5 12GB 256SSD Iris Xe -  ,26990000,
  15.6    IdeaPad 3 15ALC6-R7 20GB 256SSD Radeon -  ,27010000,
  15.6    IdeaPad 3 15ITL6-i5 16GB 1HDD MX350 -  ,26900000,
  15.6    ThinkBook 15 G2 ITL-i5 16GB 1HDD MX450 -  ,26880000,
  15.6    IdeaPad 3-ZE-NB,26800000,4
  15.6    IdeaPad 3-i7 12GB 512SSD MX450 -  ,26700000,2
  15.6    V15 G2 ALC-R5 12GB 1HDD 256SSD Radeon -  ,26700000,4
  15.6    ThinkBook 15 G2 ITL-i5 8GB 1HDD 128SSD MX450 -  ,26650000,4
