modul,price,score
  15.6    ExpertBook B1500CEAE-EJ3357W-i7 16GB 1HDD 1SSD Iris Xe -  ,46000000,
  15.6    TUF Gaming F15 fx506hC i5 12GB 1SSD RTX3050 - hn005W -  ,45460000,
  15.6    TUF Gaming F15 FX506HE-HN012 I5 32GB 256SSD RTX3050 -  ,45050000,
  15.6    ExpertBook B1500CEAE-EJ3357W-i7 16GB 1HDD Iris Xe -  ,45000000,
  15.6    ExpertBook B1500CEAE-EJ3357W-i7 16GB 1HDD 512SSD Iris Xe -  ,45000000,
  15.6    TUF Dash FX517ZC-HN002W-i7 16GB 512SSD RTX 3050,44900000,4.6
  15.6    K513EQ-BN443,44814000,5
  15.6    TUF Gaming F15 FX506HE-HN012 I5 16GB 256SSD RTX3050 -  ,44400000,
  15.6    ExpertBook B1500CEAE-EJ3357W-i7 16GB 1SSD Iris Xe -  ,44100000,
  15.6    TUF Gaming F15 fx506hC i5 12GB 512SSD RTX3050 - hn005W -  ,44000000,
  15.6    ExpertBook B1500CEAE-EJ3357W-i7 16GB 512SSD Iris Xe -  ,44000000,
  15.6    TUF Gaming F15 FX507ZC4-HN081W - i5 16GB 512SSD RTX3050 -  ,43490000,
  16    Vivobook 16 R1605ZA-MB119-i7 16GB 512SSD Iris Xe -  ,43450000,
  15.6    ExpertBook B1500CBA-BQ0268-i7 32GB 1HDD 512SSD Iris Xe,43435000,
  15.6    TUF Gaming F15 FX506HE-BC,43350000,4.9
  17.3    Vivobook K1703ZA-AU128,43299000,4
  15.6    ExpertBook B1500CBA-BQ0144W-i7 32GB 1HDD 256SSD Iris Xe,43200000,
  15.6    TUF Gaming F15 FX507ZC4-HN009,42999000,
  15.6    TUF Gaming F15 fx506hC i5 24GB 512SSD RTX3050 - hn005W -  ,42230000,
  15.6    Vivobook Pro 15 K6500ZH-HN117,42300000,
  15.6    TUF Gaming F15 FX506HC-B,41750000,4.1
  15.6    TUF Gaming F15 FX506HE-B,41724970,3.9
  15.6    TUF GAMING F15 FX506HC-HN111,41700000,5
  15.6    TUF Gaming F15 FX506HE-AC -  ,41650000,
  15.6    TUF Gaming F15 FX506HE-HN012 I5 32GB 1SSD RTX3050 -  ,41530000,
  15.6    TUF Gaming F15 FX506HE-HN012 I5 24GB 1SSD RTX3050 -  ,41520000,
  15.6    TUF Gaming F15 FX507ZC4-HN081W,41300000,5
